StringID,KO_KR
B_106211_Distance_1,"Oh, Sieg, meu amigo... Por favor, procure por ele."
B_106212_Distance_0,O quê?! Por que você está olhando?!
B_106212_Distance_1,"Não tenho nada para você, escória. Cai fora."
B_106751_Distance_0,Este abrigo aqui é seguro.
B_106751_Distance_1,Esses insetos na Floresta dos Mortos são aterrorizantes.
B_107011_Distance_0,"Esta é uma ilha de peregrinos. Por favor, mantenha silêncio."
B_107011_Distance_1,Não perturbe os peregrinos.
B_107012_Distance_0,Forasteiros não têm permissão para acessar essa informação.
B_107012_Distance_1,Esta ilha traz paz à sua mente.
B_107125_Distance_0,Os Planaltos de Numerus estão bloqueados.
B_107125_Distance_1,Esses Cultistas devem ser aniquilados.
B_107126_Distance_0,Estamos derrubando os hereges e traidores.
B_107126_Distance_1,Volte se você não estiver envolvido.
B_107132_Distance_0,Este é um lugar sagrado de oração...
B_107133_Distance_0,Del Decem... Que Decem te abençoe...
B_107134_Distance_0,O que pode ser feito com esses tolos?
B_107223_Distance_0,Ugh...
B_107231_Distance_0,Preciso obter esses registros de prisioneiros...
B_107232_Distance_0,Mesmo se eu for excomungado...
B_107233_Distance_0,Vingança... não é uma má ideia...
B_107234_Distance_0,Precisamos restaurar o templo...
B_107313_Distance_0,Eu ouvi dizer que há algo dourado à direita...
B_107314_Distance_0,Eu sinto o cheiro de uma cápsula dourada em algum lugar!
B_107691_Distance_0,Atchim!
B_107717_Distance_0,Decem ainda não nos abandonou... Podemos superar isso.
B_107717_Distance_1,Esta ferida é apenas um teste de Decem. Eu posso superá-la.
B_107717_Distance_2,Em nome de Decem... com certeza vamos sobreviver.
B_107718_Distance_0,Tenho que aguentar... Ainda não acabou...
B_107718_Distance_1,"Com a proteção de Decem, eu ainda posso lutar."
B_107718_Distance_2,Eu acredito na proteção divina... Eu vou me levantar novamente.
B_107720_Distance_0,Devemos resistir... para que todos possam voltar para casa em segurança.
B_107720_Distance_1,Se outra onda de infectados avançar... seremos capazes de detê-los?
B_107720_Distance_2,Decem está nos observando. Vou lutar até o fim.
B_107720_Distance_3,"As proteções de Decem nos mantiveram vivos até agora. Vamos resistir, não importa o que aconteça."
B_107816_Distance_0,Esperou por muito tempo?
B_107834_Distance_0,"Oh, você me encontrou."
B_107835_Distance_0,I...isso é tudo.
B_107835_QuestTarget_0,Obrigado...
B_107887_Distance_0,Você não vai a lugar nenhum.
B_107889_Distance_0,Droga... Tudo bem!
B_107974_Distance_0,"Oh... por favor, entregue-os..."
B_108192_Distance_0,Isso é injusto!
B_108201_Distance_0,Todos esses experimentos estão me dando dor de cabeça.
B_108201_Distance_1,Algo está errado com esses dados.
B_108201_Distance_2,Precisamos de mais análise.
B_108201_Distance_3,Não dormi há dias... Estou exausto.
B_108204_Distance_0,Apenas os fortes podem sobreviver aqui.
B_108204_Distance_1,Este lugar não é para os fracos de coração.
B_108204_Distance_2,Não vá embora assim. É perigoso.
B_108207_Distance_0,Meevlans roubaram as ferramentas dos pesquisadores.
B_108207_Distance_1,Levei uma bronca do chefe por causa disso...
B_108307_QuestTarget_0,"Ei, o que você quer dizer, sou meticuloso para um Crawler?"
B_108308_QuestTarget_0,"Hã? Oh, hum... ai, minha perna! Alguém chame o médico aqui, por favor!"
B_108313_Distance_0,"Por favor, poupe-me..."
B_108611_QuestTarget_0,Este androide também está perdido.
B_108611_QuestTarget_1,"O sistema de saída de voz parece estar intacto, ainda."
B_108611_QuestTarget_2,"Ah, é o Capitão de Manutenção!"
B_108613_QuestTarget_0,Ack! Não! Eu não quero morrer de veneno!
B_108613_QuestTarget_1,"Ack! Estou cuspindo sangue—espera, isso é só saliva?"
B_108613_QuestTarget_2,Eu não me sinto doente... Já estou morto? Ou ainda estou vivo?
B_108618_QuestTarget_0,Scal... retorno...
B_108619_QuestTarget_0,Ordem... devolução...
B_108619_QuestTarget_1,Scal... retorno...
B_108621_QuestTarget_0,Hmm. Nem se mexe.
B_108641_QuestTarget_0,"Vários soldados Accretia, 3 Cora e 1 Predo confirmados."
B_108728_Distance_0,O Jardim dos Deuses é mais perigoso do que parece. Tenha cuidado.
B_108729_Distance_0,Você deve ser bastante forte para ter entrado no Jardim dos Deuses.
B_108730_Distance_0,"No passado, este lugar costumava estar cheio de pesquisadores."
B_108731_Distance_0,Os suprimentos pararam de chegar há meses.
B_108732_Distance_0,O exterior é perigoso. Sempre siga o caminho.
B_108810_Distance_0,Esses desgraçados de Helas!
B_108811_Distance_0,Relaxe. Você está seguro aqui.
B_108812_Distance_0,Será que algum dia poderei voltar para casa...
B_110406_Distance_0,Este é o Acampamento do Vale.
B_110406_Distance_1,"Se você não tiver um passe ou se ele estiver expirado, você deve ser inspecionado novamente."
B_110408_Distance_0,Certifique-se de que nenhum remanescente do Overmind tenha se infiltrado.
B_110410_Distance_0,Eles realmente intensificaram as inspeções ultimamente...
B_110414_Distance_0,Eu sei. Costumava levar no máximo uma hora.
B_110414_Distance_1,Quantos dias já se passaram...
B_110703_Distance_0,Você pode usar o analisador de dados gratuitamente.
B_110703_Distance_1,Gostaria de analisar seus dados?
B_110801_Distance_0,Não posso ser pego!
B_110802_Distance_0,Tem que ficar quieto!
B_110809_InteractionStart_0,Pareto? Que nome engraçado! Hahaha...
B_110810_InteractionStart_0,Pareto? Eu o vi passando pelo posto avançado...
B_110813_Distance_0,Por que simplesmente não funciona?!
B_111002_Distance_0,Estamos trabalhando para manter todos seguros.
B_111003_Distance_0,Muitas aparições de infectados ultimamente.
B_111004_Distance_0,As coisas têm estado tensas... Isso me preocupa.
B_111006_Distance_0,Eu só vejo um daqueles pequenos drones fofos patrulhando por aí.
B_111006_Distance_1,Eles nunca tinham parado de patrulhar antes... Eu me pergunto o que aconteceu?
B_111101_Distance_0,Tenho certeza de que este é um mapa do tesouro!
B_111101_Distance_1,Não posso acreditar que um tesouro assim estava escondido em Novus!
B_111102_Distance_0,Tem sido uma bagunça por aqui esses dias. Espero que minhas coisas no armazém estejam seguras.
B_111103_Distance_0,A área de segurança está ficando lotada de refugiados.
B_111103_Distance_1,"A este ritmo, nossos suprimentos de comida não vão durar."
B_111104_Distance_0,Esses capangas do Silverhorn são escória sem lei.
B_111105_Distance_0,Pare. Esta área está fora dos limites.
B_111106_Distance_0,Ninguém com dispositivos eletrônicos pode entrar aqui.
B_111118_Distance_0,Está tudo bem agora. Pelo menos estamos juntos.
B_111119_Distance_0,"Finalmente, posso respirar facilmente agora..."
B_111121_Distance_0,Achei que ia morrer... Não quero passar por algo assim nunca mais.
B_111121_Distance_1,Eu nunca tinha ficado tão assustado antes... Meu coração ainda está disparado...
B_111122_Distance_0,Ainda estou tremendo... Estamos realmente seguros agora?
B_1111304_Distance_0,Intruso... detectado!
B_1111305_Distance_0,Ataque! Ataque! Ataque! Ataque! Ataque! Ataque!
B_111150_Distance_0,Estou livre! Vou conquistar o mundo humano agora!
B_111150_Distance_1,Vou encantar os humanos com minha fofura!
B_111150_Distance_2,Eu renasci agora! Vou aproveitar minha liberdade!
B_111151_Distance_3,"Onde há luz, eu, Chutiness, Mestre das Trevas, estou do outro lado."
B_111151_Distance_4,Para terminar esta vida.
B_111151_Distance_5,Esse é o meu destino inevitável.
B_1113503_InteractionEnd_0,*Beep* Trava desengatada.
B_1113505_InteractionEnd_0,*Beep* Trava desengatada.
B_1115102_Distance_0,Desta forma.
B_1115103_Distance_0,Tudo se foi...
B_1115191_Distance_0,Deve deixar um registro. Deve deixar um registro. Deve deixar um—
B_1115192_Distance_0,O alarme de evacuação disparou. Para onde todos foram?
B_1115193_Distance_0,Estou bem agora. Estou bem. Eu realmente estou.
B_1115194_Distance_0,Isso é tudo culpa sua.
B_1115195_Distance_0,Volte. Enquanto ainda pode.
B_1115196_Distance_0,Para onde você está indo?
B_1115201_InteractionStart_0,(As palavras [Não Abrir] aparecem de forma tênue.)
B_1115202_InteractionStart_0,(Parece que as pontas dos seus dedos estão cortando o ar.)
B_1115203_InteractionEnd_0,[Esta área já está sob bloqueio.]
B_1115203_InteractionStart_0,[Aviso. Abrindo porta de explosão.]
B_1115204_InteractionEnd_0,[Quarentena de Agente Infeccioso Suspensa]
B_1115204_InteractionStart_0,[Aviso. Abrindo porta de explosão.]
B_1115205_InteractionEnd_0,[Passagem aberta. Prossiga com cuidado.]
B_1115205_InteractionStart_0,[Aviso. Abrindo porta de explosão.]
B_1115206_InteractionStart_0,"(Um tremor violento sacode o chão, como se estivesse em um acesso de raiva.)"
B_1115331_Distance_0,...Correr...
B_1115332_Distance_0,...Fique para trás…
B_1115341_Distance_0,O que me torna diferente de você?
B_1115341_Distance_1,"No final, você não é nada mais do que um fantasma sem cabeça."
B_1115342_Distance_0,Você acha que é algum tipo de deus agora?
B_1115344_Distance_0,Esse Biosuit é apenas para exibição?
B_1115346_Distance_0,Por que você não conseguiu me salvar?!
B_1115347_Distance_0,Cora não dá boas-vindas a pessoas como você!
B_1115348_Distance_0,"Quando se trata disso, você é apenas um estranho—um mercenário de uma nação inimiga."
B_112406_Distance_0,Vou conseguir sair desta vez...?
B_112406_Distance_1,"Eu gostaria que alguém viesse me buscar, mesmo agora..."
B_112406_Distance_2,Não tenho certeza de quanto tempo mais posso aguentar...
B_112406_Distance_3,E se eles se esquecerem de mim?
B_112406_Distance_4,A comida também está quase acabando.
B_112504_Distance_0,Tosse...
B_112505_Distance_0,Por aqui...!
B_112507_Distance_0,Algo que possamos fazer...?
B_112828_Distance_0,Desistir.
B_112835_Distance_0,Desta forma.
B_112839_Distance_0,Isso é suficiente.
B_112869_Distance_0,Droga...
B_112878_Distance_0,Ugh...
B_112879_Distance_0,Droga...
B_112950_Distance_0,Então...
B_113006_QuestTarget_0,Isso parece estranho...
B_113007_Distance_0,Minha cabeça... dói demais...
B_113531_Distance_0,Meu emprego se foi.
B_113531_Distance_1,Meu casamento também acabou.
B_113532_Distance_0,Parece que este é o fim da era dos humanos.
B_113533_Distance_0,Quer ouvir sobre a minha fuga épica das máquinas?
B_113533_Distance_1,"Eu fui totalmente incrível, escapando daquela crise."
B_113921_Distance_0,O Posto Avançado Cinzento é onde o terminal começa.
B_113922_Distance_0,Nenhum bug no meu código? Isso não parece certo...
B_113923_Distance_0,Não aguento mais. Minhas costas doem demais.
B_120301_Distance_0,Temos que pará-los agora!
B_120301_Distance_1,"Você, pare os monstros, por favor!"
B_120302_Distance_0,Olhe! Um enxame de monstros está chegando!
B_120305_Distance_0,Ainda há algo lá fora... Não baixe a guarda.
B_120320_Distance_0,A vila está sob ataque!
B_120321_Distance_0,Muito obrigado! Estamos salvos.
B_120321_Distance_1,Nunca vou esquecer o que você fez!
B_120322_Distance_0,Obrigado por nos salvar.
B_120322_Distance_1,Que alívio. Muito obrigado.
B_120323_Distance_0,Eu estava tão assustado. Obrigado.
B_120323_Distance_1,Estamos seguros agora?
B_120324_Distance_0,Fique alerta. Ainda não acabou.
B_120504_Distance_0,Kadasha! Você está bem?
B_120504_Distance_1,Droga! O que está acontecendo?
B_120506_Distance_0,"Um ataque, agora?"
B_120506_Distance_1,Eles devem ser parados!
B_120508_Distance_0,Proteja Kadasha!
B_121002_InteractionEnd_0,Não pode terminar... assim...
B_121002_InteractionStart_0,Pare! Apenas pare!
B_121801_Distance_0,Por aqui.
B_121802_Distance_0,Creeek... creeek... creeek...
B_122056_Distance_0,Envie seus dados biométricos!
B_122056_Distance_1,"Se você é um mercenário, pode até aceitar Quests de Facção."
B_122057_Distance_0,Hã? Um Bellato?
B_122058_Distance_0,Acho que devo comprar isso para minha equipe...
B_122058_Distance_1,Posso obter um desconto?
B_122059_Distance_0,Ouvi dizer que uma gangue armada acabou de invadir...
B_123306_Distance_0,Onde está Strus?!
B_123306_Distance_1,Hora de pegar minha arma de volta!
B_123324_Distance_0,Preciso de ajuda aqui!
B_123325_Distance_0,Eles romperam minha máquina de aço...
B_124603_Distance_0,Não se mova.
B_124605_Distance_0,Eu também vou ajudar.
B_124803_Distance_0,"Finalmente, encontramos Kadasha!"
B_127307_Distance_0,Droga...
B_127307_InteractionStart_0,Obrigado...
B_127308_Distance_0,Aqui vem o nosso grande mercenário.
B_2000_Distance_0,
B_2000_Distance_1,
B_2000_Distance_2,
B_2000_InteractionEnd_0,
B_2000_InteractionStart_0,
B_2002_QuestTarget_0,
B_2002_QuestTarget_1,
B_200351_InteractionEnd_0,Minha cabeça está girando...
B_200351_InteractionStart_0,Aff... Euclid...
B_200352_InteractionEnd_0,Aaah!
B_200352_InteractionStart_0,Não... Dói... demais...
B_201301_InteractionEnd_0,
B_201301_InteractionStart_0,
B_201301_InteractionStart_1,
B_201301_InteractionStart_2,
B_201301_InteractionStart_3,
B_201302_Distance_0,
B_201302_Distance_1,
B_201302_InteractionEnd_0,
B_201503_InteractionEnd_0,Download completo!
B_201503_InteractionStart_0,Baixando...
B_205102_InteractionStart_0,"Scalar, você já está morto."
B_205103_InteractionStart_0,Você matou tantas pessoas...
B_205107_InteractionStart_0,"Oh, onde está meu pobre Scalar?"
B_205109_InteractionStart_0,Scalar... Quem está controlando você agora?
B_205110_InteractionStart_0,...
B_205121_QuestTarget_0,"Scalar, seu traidor..."
B_205125_QuestTarget_0,Fingindo ser bom agora?
B_205128_QuestTarget_0,Traga Scalar aqui!
B_205129_QuestTarget_0,Ou o Biosuit?
B_205130_QuestTarget_0,Ou esse seu cérebro despedaçado?
B_205301_InteractionStart_0,(Apenas poeira é encontrada na bolsa...)
B_205551_QuestTarget_0,P-podemos realmente ir?
B_205552_QuestTarget_0,Obrigado!
B_205607_InteractionEnd_0,Obrigado por salvar minha vida!
B_205607_InteractionStart_0,Não posso... ser... pego...
B_205608_InteractionEnd_0,"Graças a você, eu me sinto melhor agora."
B_205608_InteractionStart_0,Quem... quem é você?
B_205609_InteractionEnd_0,Que alívio.
B_205609_InteractionStart_0,*Chorando*
B_205611_InteractionEnd_0,Senha incorreta.
B_205611_InteractionStart_0,Protocolo de segurança ativado.
B_205704_InteractionEnd_0,Dados salvos.
B_205704_InteractionStart_0,Acessando o dispositivo de armazenamento de dados de pesquisa.
B_205705_InteractionEnd_0,Download completo.
B_205705_InteractionStart_0,Não se mova enquanto estiver baixando.
B_205802_InteractionEnd_0,Beep... falha na conexão do processo.
B_205910_InteractionEnd_0,Devemos a você.
B_205910_InteractionStart_0,"Oh, obrigado."
B_205911_InteractionEnd_0,Nunca esquecerei sua gentileza.
B_205911_InteractionStart_0,Oh... Obrigado.
B_206002_InteractionEnd_0,Verificação completa.
B_206002_InteractionStart_0,Escaneando o alvo...
B_206003_InteractionEnd_0,Entrada de dados completa.
B_206003_InteractionStart_0,Inserindo dados de amostra infectados...
B_206404_InteractionEnd_0,Obrigado...
B_206404_InteractionStart_0,Ai... dói.
B_206405_InteractionEnd_0,Eu me sinto muito melhor agora. Obrigado.
B_206405_InteractionStart_0,Por favor... ajude... Ugh...
B_206512_InteractionStart_0,Obrigado...
B_206513_InteractionStart_0,"Por favor, seja gentil..."
B_206803_InteractionEnd_0,Como devo retribuir você...?
B_206803_InteractionStart_0,Ugh... Obrigado.
B_207204_InteractionEnd_0,Minha cabeça está ficando mais clara. Obrigado.
B_207205_InteractionEnd_0,"Não tenho certeza do que foi isso, mas está me dando energia... Obrigado."
B_207205_InteractionStart_0,Ugh...
B_207604_InteractionEnd_0,Reinicialização completa.
B_207604_InteractionStart_0,Reiniciando...
B_207605_InteractionEnd_0,Reinicialização completa.
B_207605_InteractionStart_0,Reiniciando
B_207698_InteractionStart_0,Escaneando amostra de pesquisa...
B_207698_InteractionStart_1,Envio completo.
B_207698_InteractionStart_2,Dados atualizados.
B_207801_InteractionStart_0,(Um sinal fraco emite bipes periodicamente.)
B_207806_InteractionStart_0,(As partes são conectadas uma por uma.)
B_207810_InteractionStart_0,"(Darknet, onde todos os tipos de informações estão disponíveis, está sendo carregado.)"
B_207811_InteractionStart_0,(Essas pegadas devem pertencer à cauda.)
B_207813_InteractionStart_0,(Todos os tipos de dados classificados são exibidos.)
B_207814_InteractionStart_0,(O sangue ainda está fresco.)
B_208405_InteractionEnd_0,Ocorreu um erro no sistema do módulo de conexão. Acesso negado.
B_208405_InteractionStart_0,Acessando...
B_208406_InteractionEnd_0,Conectado à rede de comunicações.
B_208406_InteractionStart_0,Acessando...
B_208502_InteractionEnd_0,Obrigado!
B_208502_InteractionStart_0,"P-p-poupe-me, por favor."
B_208602_InteractionEnd_0,Energia conectada.
B_210801_InteractionEnd_0,Remoção de dados concluída.
B_210801_InteractionStart_0,Removendo dados...
B_211001_InteractionStart_0,Código de erro 404: dados não encontrados.
B_211003_InteractionStart_0,Verificando o estoque...
B_211104_InteractionStart_0,Adicionando o ID...
B_212401_InteractionStart_0,Huff... Não consigo respirar... Minhas pernas estão cedendo.
B_212402_InteractionStart_0,Este é o pior que meu corpo já se sentiu...
B_212403_InteractionStart_0,Estou acabado... É muito perigoso aqui.
B_212503_InteractionStart_0,(Um som de estalo suave continua vindo do corpo.)
B_212504_InteractionStart_0,(As peças estão se unindo cuidadosamente ao corpo.)
B_212505_InteractionStart_0,(Não há reação.)
B_212510_InteractionStart_0,(Várias ferramentas e itens de uso diário estão misturados.)
B_212511_InteractionStart_0,(O circuito principal está cuidadosamente cortado.)
B_212512_InteractionStart_0,(Contém um relato escrito das atividades do mercenário.)
B_212561_InteractionStart_0,Ugh...
B_212562_InteractionStart_0,Ai...
B_212564_InteractionEnd_0,(Contém várias bugigangas.)
B_212601_InteractionEnd_0,"Há mais de nós por aqui. Por favor, salve-os."
B_212602_InteractionEnd_0,"Obrigado... Há remanescentes da gangue na área. Por favor, tenha cuidado."
B_212604_InteractionStart_0,Um bloco de dados está dentro.
B_212605_InteractionStart_0,Autenticando pesquisador... cartão ausente.
B_212807_InteractionStart_0,(Parece que foi um único golpe limpo.)
B_212808_InteractionStart_0,(Não funciona corretamente.)
B_212814_InteractionStart_0,(O traço da Force é forte o suficiente para ser sentido na pele.)
B_212815_InteractionStart_0,(O traço da Force é forte o suficiente para ser sentido na pele.)
B_213001_InteractionStart_0,(Um pulso sutil pode ser sentido.)
B_213003_InteractionStart_0,(Nenhum ruído mecânico pode ser ouvido.)
B_220402_InteractionEnd_0,Descriptografia completa!
B_220402_InteractionStart_0,Descriptografando...
B_220701_InteractionEnd_0,Iniciando teste.
B_220701_InteractionStart_0,Enviando dados...
B_220702_InteractionEnd_0,Ativando lançador.
B_220702_InteractionStart_0,Transmitindo dados finais...
B_221001_InteractionStart_0,Acha que é isso?
B_222201_InteractionEnd_0,Zip... Boom!
B_222202_InteractionEnd_0,Erro na Rede do Posto Avançado.
B_222202_InteractionStart_0,Bip... bip... bip...
B_223005_InteractionEnd_0,O Repetidor está pronto para ser ativado.
B_223201_InteractionEnd_0,Transmissão completa.
B_223201_InteractionStart_0,Acessando dados de ativação da Torre Arcano.
B_227501_InteractionStart_0,Ugh...
B_283101_Distance_0,Aviso! Campo de energia debilitante de ataque de Force detectado.
B_283102_Distance_0,Aviso! Campo de energia debilitante de ataque físico detectado.
B_283201_Distance_0,Aviso! Campo de energia debilitante de ataque de Force detectado.
B_283202_Distance_0,Aviso! Campo de energia debilitante de ataque físico detectado.
B_283301_Distance_0,Aviso! Campo de energia debilitante de ataque de Force detectado.
B_283302_Distance_0,Aviso! Campo de energia debilitante de ataque físico detectado.
B_301501_Distance_0,Você é...
B_301501_Distance_1,Pode vir.
B_301501_Distance_2,Que covarde.
B_301501_Distance_3,Nos encontramos novamente!
B_301511_Distance_0,Quem é você! Revele-se!
B_302104_QuestTarget_0,Executando comando... execução do comando... Erro! Erro!
B_302106_QuestTarget_0,Reinicializando o sistema. Preparando um ataque.
B_305915_Distance_0,Vou esmagar você!
B_305916_Distance_0,Este é o nosso território agora!
B_305917_Distance_0,Como você se atreve!
B_305918_Distance_0,Você não pode nos parar!
B_305919_Distance_0,Como você ousa desafiar a Gangue Silverhorn!
B_305924_Distance_0,Desista e renda-se já!
B_3111105_Distance_0,Droga! O que diabos está acontecendo com a situação do Diamant?
B_3111106_Distance_0,Esta é a Base Paleon. É uma base temporária para os membros investigativos aqui.
B_3111107_Distance_0,Você acha que há um lugar que precisará da minha Ajuda?
B_3112121_Distance_0,O que você acha que caiu do céu?
B_3112122_Distance_0,A situação aqui é tão sombria...
B_3112122_Distance_1,Reze comigo pelo retorno seguro dos investigadores.
B_3113115_Distance_0,Atchim! ... Você não ouviu isso.
B_3113116_Distance_0,Se ao menos eu tivesse um chapéu na minha cabeça.
B_3113117_Distance_0,Onde foram parar meus braços?
